"","basin","median","q20","q25","q75","q80"
"1","01",8.1,7.8,7.9,8.3,8.3
"2","02",7.6,7.3,7.4,7.8,7.9
"3","03",8,7.7,7.8,8.2,8.3
"4","04",8,7.7,7.8,8.2,8.3
"5","05",7.9,7.7,7.7,8.2,8.2
"6","06",7.8,7.4,7.5,8.1,8.2
"7","07",8.1,7.8,7.9,8.3,8.3
"8","08",7.2,6.5,6.5,7.8,7.9
"9","09",7.6,7.1,7.2,7.9,8.1
"10","10",7.8,7.3,7.5,8.1,8.2
"11","11",7.3,7,7,7.7,7.8
"12","12",7.9,7.4,7.4,8.2,8.2
"13","13",7.8,7.4,7.6,8.2,8.3
"14","14",7.4,7.1,7.2,7.6,7.6
"15","15",7.6,7.3,7.4,7.8,7.8
"16","16",7.6,7.2,7.3,8,8
"17","17",7,6.2,6.3,7.4,7.5
